date invoice,aliac,upc,name,barcode,Ordered QTY,Size US/UK,eu size,rrp,Season,gender,color,Category,cost,silling price,customer price,Brand
45915,150521STOL,150521STOL,Duraleather Overlay Mesh Lace-Up W/ Air-Cooled M,197976692855,2,10.0,40.0,300,fw25,WOMENS,STOL,Footwear,150.45,174.0,240,Duraleather
45915,150521STOL,150521STOL,Duraleather Overlay Mesh Lace-Up W/ Air-Cooled M,197976692770,1,6.0,36.0,300,fw25,WOMENS,STOL,Footwear,150.45,174.0,240,Duraleather
45915,150521STOL,150521STOL,Duraleather Overlay Mesh Lace-Up W/ Air-Cooled M,197976692794,2,7.0,37.0,300,fw25,WOMENS,STOL,Footwear,150.45,174.0,240,Duraleather
45915,150521STOL,150521STOL,Duraleather Overlay Mesh Lace-Up W/ Air-Cooled M,197976692800,1,7.5,37.5,300,fw25,WOMENS,STOL,Footwear,150.45,174.0,240,Duraleather
45915,150521STOL,150521STOL,Duraleather Overlay Mesh Lace-Up W/ Air-Cooled M,197976692817,3,8.0,38.0,300,fw25,WOMENS,STOL,Footwear,150.45,174.0,240,Duraleather
45915,150521STOL,150521STOL,Duraleather Overlay Mesh Lace-Up W/ Air-Cooled M,197976692824,2,8.5,38.5,300,fw25,WOMENS,STOL,Footwear,150.45,174.0,240,Duraleather
45915,150521STOL,150521STOL,Duraleather Overlay Mesh Lace-Up W/ Air-Cooled M,197976692831,3,9.0,39.0,300,fw25,WOMENS,STOL,Footwear,150.45,174.0,240,Duraleather
45915,177710W,177710W,"""Embossed Leather, Contrast Piping And Lining La",197976175570,2,10.0,40.0,350,fw25,WOMENS,W,Footwear,175.525,203.0,280,"""Embossed"
45915,177710W,177710W,"""Embossed Leather, Contrast Piping And Lining La",197976175495,1,6.0,36.0,350,fw25,WOMENS,W,Footwear,175.525,203.0,280,"""Embossed"
45915,177710W,177710W,"""Embossed Leather, Contrast Piping And Lining La",197976175518,2,7.0,37.0,350,fw25,WOMENS,W,Footwear,175.525,203.0,280,"""Embossed"
45915,177710W,177710W,"""Embossed Leather, Contrast Piping And Lining La",197976175525,1,7.5,37.5,350,fw25,WOMENS,W,Footwear,175.525,203.0,280,"""Embossed"
45915,177710W,177710W,"""Embossed Leather, Contrast Piping And Lining La",197976175532,3,8.0,38.0,350,fw25,WOMENS,W,Footwear,175.525,203.0,280,"""Embossed"
45915,177710W,177710W,"""Embossed Leather, Contrast Piping And Lining La",197976175549,2,8.5,38.5,350,fw25,WOMENS,W,Footwear,175.525,203.0,280,"""Embossed"
